Date,Open,High,Low,Close,Adj Close,Volume,Open_brl,High_brl,Low_brl,Close_brl,Adj Close_brl,Volume_brl,Open_bvsp,High_bvsp,Low_bvsp,Close_bvsp,Adj Close_bvsp,Volume_bvsp,Open_petroleo,High_petroleo,Low_petroleo,Adj Close_petroleo,Volume_petroleo,Open_ouro,High_ouro,Low_ouro,Adj Close_ouro,Volume_ouro,Adj Close_goll4
2020-01-02,4.0163,4.0387,4.00082,4.0163,4.0163,0,4.0163,4.0387,4.00082,4.0163,4.0163,0,115652.0,118573.0,115649.0,118573.0,118573.0,5162700,61.6,61.6,60.64,61.18,486870.0,1521.0,1534.0,1519.7,1528.1,270550.0,37.169998
2020-01-03,4.0237,4.067005,4.021125,4.0234,4.0234,0,4.0237,4.067005,4.021125,4.0234,4.0234,0,118564.0,118792.0,117341.0,117707.0,117707.0,6834500,61.18,64.09,61.13,63.05,885860.0,1531.7,1556.6,1530.4,1552.4,436740.0,35.900002
2020-01-06,4.057,4.0662,4.044942,4.057,4.057,0,4.057,4.0662,4.044942,4.057,4.057,0,117707.0,117707.0,116269.0,116878.0,116878.0,6570000,63.71,64.72,62.64,63.27,724240.0,1562.7,1590.9,1562.3,1568.8,558970.0,34.25
2020-01-07,4.0605,4.0906,4.043024,4.0604,4.0604,0,4.0605,4.0906,4.043024,4.0604,4.0604,0,116872.0,117076.0,115965.0,116662.0,116662.0,4854100,62.91,63.15,62.11,62.7,582650.0,1567.4,1579.2,1557.0,1574.3,435870.0,34.450001
2020-01-08,4.0662,4.0764,4.0441,4.0662,4.0662,0,4.0662,4.0764,4.0441,4.0662,4.0662,0,116667.0,117335.0,115693.0,116247.0,116247.0,5910500,62.84,65.65,59.15,59.61,1210000.0,1578.8,1613.3,1553.4,1560.2,813410.0,35.810001
2020-01-09,4.0628,4.0847,4.037521,4.0628,4.0628,0,4.0628,4.0847,4.037521,4.0628,4.0628,0,116248.0,116820.0,115411.0,115947.0,115947.0,5953500,59.99,60.31,58.66,59.56,750930.0,1557.7,1562.4,1541.0,1554.3,372880.0,36.650002
2020-01-10,4.0922,4.0925,4.061031,4.0921,4.0921,0,4.0922,4.0925,4.061031,4.0921,4.0921,0,115948.0,116745.0,114952.0,115503.0,115503.0,4783400,59.61,59.78,58.85,59.04,596190.0,1553.4,1564.1,1546.7,1560.1,344340.0,37.240002
2020-01-13,4.0904,4.1388,4.088028,4.0705,4.0705,0,4.0904,4.1388,4.088028,4.0705,4.0705,0,115503.0,117333.0,115503.0,117325.0,117325.0,5685100,59.04,59.27,57.91,58.08,584000.0,1563.0,1563.1,1547.0,1550.6,311730.0,38.0
2020-01-14,4.1459,4.1575,4.12605,4.1458,4.1458,0,4.1459,4.1575,4.12605,4.1458,4.1458,0,117325.0,117705.0,116610.0,117632.0,117632.0,5361700,58.03,58.72,57.72,58.23,507710.0,1548.6,1549.5,1536.4,1544.6,340910.0,37.990002
2020-01-15,4.1313,4.1819,4.1102,4.1313,4.1313,0,4.1313,4.1819,4.1102,4.1313,4.1313,0,117632.0,117632.0,116188.0,116414.0,116414.0,5569400,58.2,58.36,57.36,57.81,433170.0,1546.8,1558.8,1546.5,1554.0,310070.0,36.970001
2020-01-16,4.1744,4.1905,4.1594,4.1742,4.1742,0,4.1744,4.1905,4.1594,4.1742,4.1742,0,116415.0,117106.0,115961.0,116704.0,116704.0,5422700,58.1,58.87,57.56,58.52,182870.0,1556.6,1558.2,1548.0,1550.5,260050.0,36.639999
2020-01-17,4.1837,4.1887,4.171507,4.1836,4.1836,0,4.1837,4.1887,4.171507,4.1836,4.1836,0,116710.0,118479.0,116710.0,118478.0,118478.0,4947200,58.59,58.98,58.27,58.54,122560.0,1553.0,1561.4,1549.3,1560.3,264930.0,37.93
2020-01-20,4.1616,4.1862,4.1574,4.1616,4.1616,0,4.1616,4.1862,4.1574,4.1616,4.1616,0,118478.0,118862.0,117928.0,118862.0,118862.0,3843500,59.28,59.32,58.56,58.73,362745.7917109458,1557.3,1568.8,1546.0,1557.9,462620.0,37.799999
2020-01-21,4.1887,4.2052,4.166776,4.1885,4.1885,0,4.1887,4.2052,4.166776,4.1885,4.1885,0,118861.0,118861.0,117026.0,117026.0,117026.0,5085600,59.17,59.73,57.68,58.34,50180.0,1567.0,1571.4,1549.2,1560.8,2220.0,36.68
2020-01-22,4.2109,4.2113,4.1794,4.2109,4.2109,0,4.2109,4.2113,4.1794,4.2109,4.2109,0,117035.0,118401.0,117035.0,118391.0,118391.0,5765700,58.26,58.38,56.03,56.74,620120.0,1558.9,1559.8,1550.0,1556.7,286080.0,37.18
2020-01-23,4.1814,4.1878,4.1556,4.1813,4.1813,0,4.1814,4.1878,4.1556,4.1813,4.1813,0,118391.0,119535.0,116906.0,119528.0,119528.0,6572400,56.11,56.27,54.77,55.59,704000.0,1558.9,1567.5,1551.3,1565.4,361030.0,39.049999
2020-01-24,4.1688,4.1876,4.1474,4.1691,4.1691,0,4.1688,4.1876,4.1474,4.1691,4.1691,0,119528.0,119593.0,118108.0,118376.0,118376.0,4778700,55.69,55.95,53.85,54.19,586200.0,1562.9,1575.5,1555.8,1571.9,427140.0,37.82
2020-01-27,4.1595,4.2297,4.1595,4.1595,4.1595,0,4.1595,4.2297,4.1595,4.1595,4.1595,0,118347.0,118347.0,114376.0,114482.0,114482.0,6097800,53.7,53.71,52.13,53.14,712880.0,1580.5,1588.4,1575.3,1577.4,398060.0,35.299999
2020-01-28,4.2061,4.2157,4.1869,4.2061,4.2061,0,4.2061,4.2157,4.1869,4.2061,4.2061,0,114482.0,116797.0,114475.0,116479.0,116479.0,5229400,52.77,54.06,52.68,53.48,633960.0,1580.6,1582.2,1564.6,1569.8,378010.0,36.189999
2020-01-29,4.1933,4.2211,4.1817,4.1934,4.1934,0,4.1933,4.2211,4.1817,4.1934,4.1934,0,116494.0,117171.0,115164.0,115385.0,115385.0,5097800,53.97,54.37,52.81,53.33,624980.0,1566.3,1577.7,1562.0,1570.4,251270.0,34.939999
