Date,Open,High,Low,Adj Close,Volume
2023-10-30,85.0,85.3,81.82,82.31,362745.7917109458
2023-10-29,85.14,85.18,83.77,84.55,362745.7917109458
2023-10-27,83.53,85.9,83.1,85.54,333760.0
2023-10-26,85.37,85.59,82.56,83.21,341790.0
2023-10-25,83.69,85.56,82.08,85.39,429460.0
2023-10-24,86.15,86.3,82.94,83.74,370590.0
2023-10-23,88.0,88.29,85.35,85.49,315520.0
2023-10-20,90.28,90.78,88.33,88.75,27310.0
2023-10-19,88.24,90.68,86.6,89.37,72060.0
2023-10-18,87.81,89.88,87.2,88.32,92800.0
2023-10-17,87.06,87.75,85.6,86.66,197120.0
2023-10-16,87.72,88.33,86.32,86.66,235780.0
2023-10-13,83.51,87.83,83.35,87.69,356860.0
2023-10-12,83.2,85.2,82.31,82.91,373490.0
2023-10-11,85.96,86.51,83.11,83.49,425400.0
2023-10-10,86.43,86.74,85.12,85.97,337650.0
2023-10-09,85.25,87.24,84.67,86.38,435040.0
2023-10-06,82.28,83.28,81.5,82.79,461140.0
2023-10-05,84.45,84.92,82.15,82.31,466000.0
2023-10-04,89.42,89.59,84.16,84.22,460000.0
2023-10-03,88.67,90.27,87.76,89.23,350660.0
2023-10-02,90.82,91.88,88.46,88.82,334490.0
2023-09-29,91.76,93.1,90.35,90.79,355780.0
2023-09-28,93.78,95.03,91.39,91.71,406710.0
2023-09-27,90.53,94.17,90.4,93.68,504630.0
2023-09-26,89.88,90.74,88.19,90.39,318020.0
2023-09-25,90.55,90.83,89.03,89.68,328370.0
2023-09-22,89.62,91.33,89.31,90.03,402090.0
2023-09-21,89.3,90.98,88.37,89.63,351030.0
2023-09-20,91.55,91.98,89.87,90.28,35990.0
2023-09-19,92.22,93.74,91.07,91.2,94600.0
2023-09-18,91.2,92.43,90.75,91.48,119260.0
2023-09-15,90.67,91.23,89.22,90.77,315000.0
2023-09-14,88.81,90.79,88.68,90.16,325270.0
2023-09-13,88.75,89.64,88.29,88.52,345970.0
2023-09-12,87.27,89.37,87.22,88.84,341140.0
2023-09-11,87.4,88.15,86.71,87.29,292390.0
2023-09-08,86.78,87.95,86.15,87.51,294440.0
2023-09-07,87.54,87.74,86.39,86.87,270740.0
2023-09-06,86.72,88.08,85.93,87.54,307120.0
2023-09-05,86.06,88.07,85.02,86.69,452910.0
2023-09-04,85.85,86.14,85.28,85.82,362745.7917109458
2023-09-03,86.06,86.06,85.73,85.85,362745.7917109458
2023-09-01,83.63,86.06,83.46,85.55,420460.0
2023-08-31,81.7,83.69,81.48,83.63,368850.0
2023-08-30,81.29,82.05,80.88,81.63,299420.0
2023-08-29,79.98,81.41,79.34,81.16,284170.0
2023-08-28,80.15,80.87,79.61,80.1,246580.0
2023-08-25,78.88,80.45,78.14,79.83,411410.0
2023-08-24,78.57,79.28,77.59,79.05,349230.0
2023-08-23,79.64,79.91,77.62,78.89,378150.0
2023-08-22,80.8,80.99,80.1,80.35,21690.0
2023-08-21,81.43,82.47,80.61,80.72,115870.0
2023-08-18,80.04,81.61,79.59,81.25,128090.0
2023-08-17,79.25,81.08,78.95,80.39,235580.0
2023-08-16,81.23,81.43,79.05,79.38,325400.0
2023-08-15,82.52,82.91,80.4,80.99,303210.0
2023-08-14,83.09,83.2,81.76,82.51,277350.0
2023-08-11,82.83,83.81,82.23,83.19,331250.0
2023-08-10,84.25,84.89,82.58,82.82,362190.0
2023-08-09,82.88,84.65,82.67,84.4,478140.0
2023-08-08,82.53,83.08,79.9,82.92,424550.0
2023-08-07,82.82,83.3,81.52,81.94,293040.0
2023-08-04,81.73,83.24,81.51,82.82,320870.0
2023-08-03,79.77,81.86,78.69,81.55,402640.0
2023-08-02,82.05,82.43,79.05,79.49,414830.0
2023-08-01,81.73,82.22,80.59,81.37,307860.0
2023-07-31,80.65,82.0,80.13,81.8,297270.0
2023-07-28,79.84,80.71,79.07,80.58,299550.0
2023-07-27,78.9,80.6,78.87,80.09,374360.0
2023-07-26,79.34,79.77,78.55,78.78,322030.0
2023-07-25,78.85,79.9,78.29,79.63,349600.0
2023-07-24,77.01,79.28,76.44,78.74,368290.0
2023-07-21,75.7,77.29,75.69,77.07,308110.0
2023-07-20,75.35,76.15,74.72,75.63,23710.0
2023-07-19,75.84,76.97,75.07,75.35,92920.0
2023-07-18,74.18,75.96,73.88,75.75,125090.0
2023-07-17,75.02,76.09,73.84,74.15,244790.0
2023-07-14,77.16,77.3,75.11,75.42,299580.0
